,nom_mun,qtd_dom,qtd_dom_E1,qtd_dom_E2,qtd_dom_T1,qtd_0a11,qtd_0a11_pob_vul
2572,Gurinhatã,2243,57,53,65,924,539
2573,Heliodora,1986,34,41,6,1048,414
2574,Iapu,3297,83,89,43,1816,942
2575,Ibertioga,1551,31,49,18,852,449
2576,Ibiá,7747,89,110,33,4019,1071
2577,Ibiaí,2237,106,199,68,1680,1285
2578,Ibiracatu,1665,72,175,37,1284,999
2579,Ibiraci,3789,103,93,70,2309,819
2580,Ibirité,46400,548,905,248,32309,7539
2581,Ibitiúra de Minas,1168,59,13,16,539,227
2582,Ibituruna,886,2,21,2,524,131
2583,Icaraí de Minas,2559,210,244,190,2321,1868
2584,Igarapé,10491,169,372,69,6790,2650
2585,Igaratinga,2790,149,100,87,1711,573
2586,Iguatama,2748,29,71,29,1042,286
2587,Ijaci,1692,21,22,4,1065,252
2588,Ilicínea,3646,61,68,42,2067,576
2589,Imbé de Minas,1923,85,128,80,1283,1039
2590,Inconfidentes,2253,52,78,32,990,427
2591,Indaiabira,1944,125,196,73,1470,1209
2592,Indianópolis,1951,40,92,22,1190,635
2593,Ingaí,814,27,30,25,453,262
2594,Inhapim,7726,308,291,331,4374,2737
2595,Inhaúma,1656,45,78,22,1028,510
2596,Inimutaba,2056,59,85,19,1185,698
2597,Ipaba,5079,125,150,73,3546,1375
2598,Ipanema,6065,95,188,89,3087,1447
2599,Ipatinga,73726,574,663,198,40334,6223
2600,Ipiaçu,1420,8,17,5,628,128
2601,Ipuiúna,3069,83,50,79,1564,788
2602,Iraí de Minas,2016,63,63,32,1221,419
2603,Itabira,31930,254,608,241,18078,4523
2604,Itabirinha,3277,119,134,26,1981,1018
2605,Itabirito,13419,79,307,52,7655,1366
2606,Itacambira,1289,97,78,34,952,764
2607,Itacarambi,4384,259,428,103,4108,2930
2608,Itaguara,4055,66,62,68,1964,559
2609,Itaipé,3081,213,426,190,2914,2391
2610,Itajubá,28495,128,307,44,14321,2526
2611,Itamarandiba,9106,325,566,366,7284,4419
2612,Itamarati de Minas,1301,7,37,5,508,170
2613,Itambacuri,6625,219,539,226,4707,3049
2614,Itambé do Mato Dentro,694,15,30,5,350,244
2615,Itamogi,3465,66,71,42,1594,589
2616,Itamonte,4296,50,158,87,2324,1020
2617,Itanhandu,4410,51,57,19,2302,481
2618,Itanhomi,3826,125,114,54,2082,738
2619,Itaobim,6244,164,624,196,4106,2748
2620,Itapagipe,4578,69,123,69,1781,626
2621,Itapecerica,7030,119,114,89,3115,903
2622,Itapeva,2806,56,88,36,1444,730
2623,Itatiaiuçu,3078,55,188,35,1829,779
2624,Itaú de Minas,4803,15,16,9,2331,340
2625,Itaúna,27122,154,201,151,12943,1748
2626,Itaverava,1650,60,138,61,1093,837
2627,Itinga,3790,141,477,110,3156,2303
2628,Itueta,1860,24,61,35,985,479
2629,Ituiutaba,32707,172,305,262,14945,3242
2630,Itumirim,1862,28,30,10,994,401
2631,Iturama,11403,62,161,52,5877,1227
2632,Itutinga,1312,15,30,28,627,291
2633,Jaboticatubas,5482,131,361,85,2974,1928
2634,Jacinto,3795,90,157,56,2255,1363
2635,Jacuí,2540,40,72,54,1238,624
2636,Jacutinga,7217,112,71,77,3889,1028
2637,Jaguaraçu,906,11,19,6,504,172
2638,Jaíba,8991,482,665,344,7838,5337
2639,Jampruca,1505,28,122,44,1002,676
2640,Janaúba,18617,638,1212,450,13220,8132
2641,Januária,17603,867,1429,493,14474,10560
2642,Japaraíba,1202,24,35,33,753,210
2643,Japonvar,2315,91,120,93,1642,1204
2644,Jeceaba,1686,25,74,21,805,407
2645,Jenipapo de Minas,1761,73,238,38,1531,1170
2646,Jequeri,4088,186,235,83,2198,1449
2647,Jequitaí,2529,97,137,42,1383,989
2648,Jequitibá,1590,52,79,75,892,677
2649,Jequitinhonha,7238,298,666,248,4934,3565
2650,Jesuânia,1570,36,59,26,710,295
2651,Joaíma,4166,230,428,175,3364,2286
2652,Joanésia,1674,37,103,43,849,614
2653,João Monlevade,22292,147,166,0,11687,2191
2654,João Pinheiro,13836,469,483,335,8641,3224
2655,Joaquim Felício,1255,52,96,34,789,518
2656,Jordânia,3048,121,220,74,2053,1310
2657,José Gonçalves de Minas,1147,59,97,84,992,697
2658,José Raydan,1302,46,131,49,854,653
2659,Josenópolis,1209,109,85,57,1160,799
2660,Nova União,1680,16,75,46,986,506
2661,Juatuba,6895,62,336,42,4239,1522
2662,Juiz de Fora,172973,1297,2375,735,75207,13559
2663,Juramento,1204,30,49,48,787,443
2664,Juruaia,2847,138,99,174,1504,818
2665,Juvenília,1515,116,146,22,1289,991
2666,Ladainha,4306,357,536,192,4189,3704
2667,Lagamar,2690,25,51,38,1197,402
2668,Lagoa da Prata,14331,106,130,129,7882,1455
2669,Lagoa dos Patos,1195,51,115,35,860,637
2670,Lagoa Dourada,3287,83,137,43,2333,1152
2671,Lagoa Formosa,5672,75,71,119,2655,839
2672,Lagoa Grande,2827,74,49,59,1620,865
2673,Lagoa Santa,15875,328,358,114,9279,2968
2674,Lajinha,6180,212,264,134,3729,2401
2675,Lambari,6458,136,169,79,3341,1362
2676,Lamim,1068,16,75,20,620,462
2677,Laranjal,2093,33,53,7,912,280
2678,Lassance,1991,75,161,78,1331,978
2679,Lavras,29381,110,263,69,14335,2312
2680,Leandro Ferreira,1038,27,10,9,558,222
