municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_distorcao_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis,porcentagem_domicilios_crianca_fora_da_escola,porcentagem_domicilios_crianca_com_atraso_escolar,porcentagem_domicilios_trabalho_infantil,porcentagem_criancas_pobres_vulneraveis,habitantes_aproximacao,gini
Carlos Chagas,6308,203,312,101,3364,1434,3.2181,4.9461,1.6011,42.6278,20879,0.5448
Carmésia,752,10,44,19,467,263,1.3298,5.8511,2.5266,56.3169,2489,0.4810
Carmo da Cachoeira,3518,89,201,42,2275,1059,2.5298,5.7135,1.1939,46.5495,11645,0.4575
Carmo da Mata,3537,77,56,24,1714,508,2.1770,1.5833,0.6785,29.6383,11707,0.4043
Carmo de Minas,3957,66,163,32,2709,1194,1.6679,4.1193,0.8087,44.0753,13098,0.4798
Carmo do Cajuru,6380,42,111,75,3325,685,0.6583,1.7398,1.1755,20.6015,21118,0.4463
Carmo do Paranaíba,10138,154,207,130,4830,1267,1.5190,2.0418,1.2823,26.2319,33557,0.5113
Carmo do Rio Claro,6653,88,27,82,3328,1185,1.3227,0.4058,1.2325,35.6070,22021,0.5201
Carmópolis de Minas,5055,105,131,173,2833,943,2.0772,2.5915,3.4224,33.2863,16732,0.4635
Carneirinho,3286,43,51,61,1535,595,1.3086,1.5520,1.8564,38.7622,10877,0.5397
Carrancas,1233,22,36,17,656,288,1.7843,2.9197,1.3788,43.9024,4081,0.5429
Carvalhópolis,1101,5,29,18,579,187,0.4541,2.6340,1.6349,32.2971,3644,0.4319
Carvalhos,1537,56,69,13,622,379,3.6435,4.4893,0.8458,60.9325,5087,0.5310
Casa Grande,615,20,21,6,377,228,3.2520,3.4146,0.9756,60.4775,2036,0.4035
Cascalho Rico,1045,14,18,18,466,247,1.3397,1.7225,1.7225,53.0043,3459,0.4935
Cássia,5809,89,123,78,2888,925,1.5321,2.1174,1.3427,32.0291,19228,0.4825
Cataguases,23334,165,418,43,10406,2424,0.7071,1.7914,0.1843,23.2943,77236,0.5120
Catas Altas,1438,10,44,9,896,250,0.6954,3.0598,0.6259,27.9018,4760,0.3920
Catas Altas da Noruega,910,30,94,34,609,470,3.2967,10.3297,3.7363,77.1757,3012,0.4437
Catuji,1796,111,263,63,1642,1351,6.1804,14.6437,3.5078,82.2777,5945,0.5546
Catuti,1488,48,73,68,1037,799,3.2258,4.9059,4.5699,77.0492,4925,0.5054
Caxambu,7190,68,140,39,3337,841,0.9458,1.9471,0.5424,25.2023,23799,0.6667
Cedro do Abaeté,445,8,12,9,197,111,1.7978,2.6966,2.0225,56.3452,1473,0.4093
Central de Minas,2330,52,74,42,1149,457,2.2318,3.1760,1.8026,39.7737,7712,0.6067
Centralina,3245,99,74,57,1667,856,3.0508,2.2804,1.7565,51.3497,10741,0.4041
Chácara,965,7,39,1,427,222,0.7254,4.0415,0.1036,51.9906,3194,0.4403
Chalé,1829,59,73,60,979,638,3.2258,3.9913,3.2805,65.1685,6054,0.4573
Chapada do Norte,3705,180,516,81,3402,2787,4.8583,13.9271,2.1862,81.9224,12264,0.4734
Chapada Gaúcha,2563,121,282,197,2695,2040,4.7210,11.0027,7.6863,75.6957,8484,0.5108
Chiador,885,14,42,4,495,206,1.5819,4.7458,0.4520,41.6162,2929,0.6223
Cipotânea,1840,127,114,71,1052,794,6.9022,6.1957,3.8587,75.4753,6090,0.5060
Claraval,1445,45,48,31,830,385,3.1142,3.3218,2.1453,46.3855,4783,0.4299
Claro dos Poções,2420,65,54,63,1327,772,2.6860,2.2314,2.6033,58.1763,8010,0.4279
Cláudio,7835,91,165,69,4369,982,1.1615,2.1059,0.8807,22.4765,25934,0.4053
Coimbra,2366,31,92,38,1198,606,1.3102,3.8884,1.6061,50.5843,7831,0.4543
Coluna,2533,171,226,87,1924,1531,6.7509,8.9222,3.4347,79.5738,8384,0.5078
Comendador Gomes,1002,15,12,34,562,301,1.4970,1.1976,3.3932,53.5587,3317,0.4510
Comercinho,2399,89,204,121,1617,1290,3.7099,8.5035,5.0438,79.7774,7941,0.4940
