municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_distorcao_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis,porcentagem_domicilios_crianca_fora_da_escola,porcentagem_domicilios_crianca_com_atraso_escolar,porcentagem_domicilios_trabalho_infantil,porcentagem_criancas_pobres_vulneraveis,habitantes_aproximacao,gini
Pains,2677,26,31,46,1174,292,0.9712,1.1580,1.7183,24.8722,8861,0.4676
Paiva,525,9,9,7,188,73,1.7143,1.7143,1.3333,38.8298,1738,0.4476
Palma,2067,26,77,3,953,431,1.2579,3.7252,0.1451,45.2256,6842,0.5087
Palmópolis,2079,103,204,98,1328,963,4.9543,9.8124,4.7138,72.5151,6881,0.4627
Papagaios,4090,163,247,75,2969,1590,3.9853,6.0391,1.8337,53.5534,13538,0.5014
Pará de Minas,26023,156,273,101,13931,2051,0.5995,1.0491,0.3881,14.7226,86136,0.4348
Paracatu,24042,542,500,207,17129,6177,2.2544,2.0797,0.8610,36.0616,79579,0.5151
Paraguaçu,6389,77,110,24,3253,924,1.2052,1.7217,0.3756,28.4045,21148,0.4196
Paraisópolis,6460,98,145,50,3181,810,1.5170,2.2446,0.7740,25.4637,21383,0.4727
Paraopeba,6742,125,265,131,4125,1694,1.8540,3.9306,1.9430,41.0667,22316,0.4568
Passa Quatro,4864,57,81,39,2606,853,1.1719,1.6653,0.8018,32.7322,16100,0.4928
Passa Tempo,2750,32,84,17,1141,436,1.1636,3.0545,0.6182,38.2121,9103,0.4979
Passa Vinte,702,6,50,14,325,163,0.8547,7.1225,1.9943,50.1538,2324,0.4183
Passabém,559,5,39,14,267,176,0.8945,6.9767,2.5045,65.9176,1850,0.4592
Passos,33750,327,356,190,17203,3053,0.9689,1.0548,0.5630,17.7469,111713,0.4978
Patis,1526,95,103,40,1152,945,6.2254,6.7497,2.6212,82.0313,5051,0.4725
Patos de Minas,45985,345,287,307,21734,3936,0.7502,0.6241,0.6676,18.1099,152210,0.5078
Patrocínio,26022,391,449,261,15122,4517,1.5026,1.7255,1.0030,29.8704,86133,0.4991
Patrocínio do Muriaé,1798,6,44,19,812,245,0.3337,2.4472,1.0567,30.1724,5951,0.4936
Paula Cândido,2700,54,169,42,1583,876,2.0000,6.2593,1.5556,55.3380,8937,0.4828
Paulistas,1347,59,124,73,1002,753,4.3801,9.2056,5.4195,75.1497,4459,0.5212
Pavão,2501,115,141,63,1642,1055,4.5982,5.6377,2.5190,64.2509,8278,0.5296
Peçanha,4942,265,368,123,3616,2641,5.3622,7.4464,2.4889,73.0365,16358,0.5304
Pedra Azul,6646,216,471,102,5206,2705,3.2501,7.0870,1.5348,51.9593,21998,0.5473
Pedra Bonita,1780,110,139,147,1561,1184,6.1798,7.8090,8.2584,75.8488,5892,0.5082
Pedra do Anta,1083,14,45,20,512,275,1.2927,4.1551,1.8467,53.7109,3585,0.5486
Pedra do Indaiá,1327,20,15,36,580,259,1.5072,1.1304,2.7129,44.6552,4392,0.4170
Pedra Dourada,680,12,40,16,413,260,1.7647,5.8824,2.3529,62.9540,2251,0.5455
Pedralva,3467,84,151,92,1990,1181,2.4228,4.3554,2.6536,59.3467,11476,0.5591
Pedras de Maria da Cruz,2726,145,250,62,2207,1679,5.3191,9.1709,2.2744,76.0761,9023,0.4679
Pedrinópolis,1137,14,38,13,626,198,1.2313,3.3421,1.1434,31.6294,3763,0.4861
Pedro Leopoldo,17661,211,371,114,9870,3123,1.1947,2.1007,0.6455,31.6413,58458,0.4761
Pedro Teixeira,586,7,29,7,301,165,1.1945,4.9488,1.1945,54.8173,1940,0.4185
Pequeri,1088,9,40,8,516,167,0.8272,3.6765,0.7353,32.3643,3601,0.4430
Pequi,1334,34,59,20,680,298,2.5487,4.4228,1.4993,43.8235,4416,0.4329
Perdigão,2736,69,61,56,1657,423,2.5219,2.2295,2.0468,25.5281,9056,0.3521
Perdizes,4514,112,120,58,2810,1042,2.4812,2.6584,1.2849,37.0819,14941,0.5539
Perdões,6398,50,36,29,3132,661,0.7815,0.5627,0.4533,21.1047,21177,0.5421
Periquito,2011,76,84,22,1516,651,3.7792,4.1770,1.0940,42.9420,6656,0.4407
Pescador,1220,15,61,21,820,440,1.2295,5.0000,1.7213,53.6585,4038,0.5331
Piau,939,18,50,19,407,196,1.9169,5.3248,2.0234,48.1572,3108,0.4228
Piedade de Caratinga,2149,108,64,107,1533,1018,5.0256,2.9781,4.9791,66.4057,7113,0.4673
Piedade de Ponte Nova,1175,7,28,4,776,303,0.5957,2.3830,0.3404,39.0464,3889,0.3874
Piedade do Rio Grande,1616,6,44,26,726,328,0.3713,2.7228,1.6089,45.1791,5349,0.4664
Piedade dos Gerais,1562,40,123,66,700,520,2.5608,7.8745,4.2254,74.2857,5170,0.4856
Pimenta,2727,30,72,10,1301,420,1.1001,2.6403,0.3667,32.2829,9026,0.4547
Pingo-d'Água,1303,19,28,3,908,269,1.4582,2.1489,0.2302,29.6256,4313,0.4411
Pintópolis,1858,78,224,77,1767,1444,4.1981,12.0560,4.1442,81.7204,6150,0.5477
Piracema,2150,42,65,27,967,446,1.9535,3.0233,1.2558,46.1220,7117,0.4425
Pirajuba,1519,15,22,7,848,203,0.9875,1.4483,0.4608,23.9387,5028,0.5324
Piranga,4623,248,437,91,3254,2662,5.3645,9.4527,1.9684,81.8070,15302,0.5215
Piranguçu,1647,48,73,18,836,372,2.9144,4.4323,1.0929,44.4976,5452,0.4668
Piranguinho,2435,33,106,27,1373,595,1.3552,4.3532,1.1088,43.3358,8060,0.4333
Pirapetinga,3503,26,81,18,1567,484,0.7422,2.3123,0.5138,30.8870,11595,0.4774
Pirapora,15461,198,609,106,10241,4798,1.2806,3.9389,0.6856,46.8509,51176,0.5515
Piraúba,3502,88,96,52,1597,629,2.5128,2.7413,1.4849,39.3863,11592,0.3714
Pitangui,7731,136,57,69,4612,1176,1.7592,0.7373,0.8925,25.4987,25590,0.4795
Piumhi,10915,76,143,102,4777,1215,0.6963,1.3101,0.9345,25.4344,36129,0.4741
Planura,3297,27,48,37,1935,302,0.8189,1.4559,1.1222,15.6072,10913,0.4409
Poço Fundo,5176,153,112,94,2488,1277,2.9560,2.1638,1.8161,51.3264,17133,0.4505
Poços de Caldas,50978,180,315,103,23246,2563,0.3531,0.6179,0.2020,11.0256,168737,0.5056
Pocrane,3037,69,49,73,1404,724,2.2720,1.6134,2.4037,51.5670,10052,0.4667
Pompéu,8659,205,350,188,5634,2389,2.3675,4.0420,2.1712,42.4033,28661,0.5352
Ponte Nova,18388,266,465,99,9173,2848,1.4466,2.5288,0.5384,31.0476,60864,0.5173
Ponto Chique,1105,47,115,46,881,672,4.2534,10.4072,4.1629,76.2770,3658,0.4594
Ponto dos Volantes,3067,191,312,198,2747,2366,6.2276,10.1728,6.4558,86.1303,10152,0.5371
Porteirinha,11102,493,378,372,6750,4682,4.4406,3.4048,3.3507,69.3630,36748,0.5106
Porto Firme,2885,49,167,68,1616,1055,1.6984,5.7886,2.3570,65.2847,9549,0.4663
Poté,4591,205,364,179,3306,2501,4.4653,7.9286,3.8989,75.6503,15196,0.4834
Pouso Alegre,41273,380,506,217,21054,3873,0.9207,1.2260,0.5258,18.3956,136614,0.4917
Pouso Alto,2051,26,89,19,863,393,1.2677,4.3393,0.9264,45.5388,6789,0.6336
Prados,2646,80,67,25,1411,437,3.0234,2.5321,0.9448,30.9709,8758,0.4834
Prata,8520,163,252,142,4692,1793,1.9131,2.9577,1.6667,38.2140,28201,0.5155
Pratápolis,3108,33,42,9,1269,199,1.0618,1.3514,0.2896,15.6816,10287,0.4500
Pratinha,1136,17,15,7,467,186,1.4965,1.3204,0.6162,39.8287,3760,0.5571
Presidente Bernardes,1618,35,122,33,1003,742,2.1632,7.5402,2.0396,73.9781,5356,0.4652
Presidente Juscelino,1177,49,63,42,677,467,4.1631,5.3526,3.5684,68.9808,3896,0.4133
Presidente Kubitschek,765,15,46,12,668,281,1.9608,6.0131,1.5686,42.0659,2532,0.4664
Presidente Olegário,6433,72,69,136,3051,1157,1.1192,1.0726,2.1141,37.9220,21293,0.4574
Prudente de Morais,2703,41,58,17,1715,641,1.5168,2.1458,0.6289,37.3761,8947,0.4285
Quartel Geral,1129,27,49,5,624,317,2.3915,4.3401,0.4429,50.8013,3737,0.4738
Queluzito,602,8,14,4,234,107,1.3289,2.3256,0.6645,45.7265,1993,0.4657
Raposos,4379,59,50,11,2556,411,1.3473,1.1418,0.2512,16.0798,14494,0.5235
Raul Soares,7810,109,279,166,3818,2206,1.3956,3.5723,2.1255,57.7789,25851,0.5153
Recreio,3533,42,52,14,1521,464,1.1888,1.4718,0.3963,30.5062,11694,0.4779
Reduto,1953,88,108,81,1357,789,4.5059,5.5300,4.1475,58.1430,6464,0.5262
Resende Costa,3585,111,141,161,1649,868,3.0962,3.9331,4.4909,52.6380,11866,0.4852
Resplendor,5880,94,216,46,2996,1499,1.5986,3.6735,0.7823,50.0334,19463,0.5531
Ressaquinha,1474,26,58,14,763,422,1.7639,3.9349,0.9498,55.3080,4879,0.4290
Riachinho,2408,85,164,93,1671,1198,3.5299,6.8106,3.8621,71.6936,7970,0.4904
Riacho dos Machados,2313,142,213,146,1997,1612,6.1392,9.2088,6.3121,80.7211,7656,0.4462
Ribeirão das Neves,89483,1328,1945,411,59422,18059,1.4841,2.1736,0.4593,30.3911,296189,0.4080
Ribeirão Vermelho,1225,2,11,1,568,120,0.1633,0.8980,0.0816,21.1268,4055,0.4373
Rio Acima,2635,55,91,15,1582,475,2.0873,3.4535,0.5693,30.0253,8722,0.4747
Rio Casca,4387,91,217,61,2574,1244,2.0743,4.9464,1.3905,48.3294,14521,0.4741
Rio do Prado,1553,45,130,27,1009,641,2.8976,8.3709,1.7386,63.5282,5140,0.5025
Rio Doce,778,7,25,13,365,144,0.8997,3.2134,1.6710,39.4521,2575,0.4538
Rio Espera,1842,53,100,73,1037,753,2.8773,5.4289,3.9631,72.6133,6097,0.4858
Rio Manso,1698,33,86,40,774,475,1.9435,5.0648,2.3557,61.3695,5620,0.4371
Rio Novo,2852,27,97,20,1395,672,0.9467,3.4011,0.7013,48.1720,9440,0.4780
Rio Paranaíba,3946,60,86,76,2015,929,1.5205,2.1794,1.9260,46.1042,13061,0.5104
Rio Pardo de Minas,7596,365,714,501,6157,4696,4.8052,9.3997,6.5956,76.2709,25143,0.5320
Rio Piracicaba,4404,27,132,20,2313,850,0.6131,2.9973,0.4541,36.7488,14577,0.4661
Rio Pomba,5546,76,103,72,2624,679,1.3704,1.8572,1.2982,25.8765,18357,0.4736
Rio Preto,1794,21,87,10,861,416,1.1706,4.8495,0.5574,48.3159,5938,0.5295
Rio Vermelho,3813,234,501,195,3070,2449,6.1369,13.1393,5.1141,79.7720,12621,0.5642
Ritápolis,1691,23,70,3,680,333,1.3601,4.1396,0.1774,48.9706,5597,0.4405
Rochedo de Minas,703,12,12,20,365,157,1.7070,1.7070,2.8450,43.0137,2327,0.3875
Rodeiro,2092,31,20,7,1217,241,1.4818,0.9560,0.3346,19.8028,6925,0.4623
Romaria,1150,11,15,4,626,243,0.9565,1.3043,0.3478,38.8179,3807,0.5473
Rosário da Limeira,1433,23,85,30,691,402,1.6050,5.9316,2.0935,58.1766,4743,0.4884
Rubelita,2238,101,131,47,1584,1224,4.5130,5.8534,2.1001,77.2727,7408,0.5019
Rubim,3090,85,213,47,1803,1116,2.7508,6.8932,1.5210,61.8968,10228,0.4906
Sabará,36693,329,604,183,23033,5458,0.8966,1.6461,0.4987,23.6964,121454,0.4693
Sabinópolis,4700,153,336,141,3082,1786,3.2553,7.1489,3.0000,57.9494,15557,0.5231
Sacramento,7768,106,85,72,4024,1208,1.3646,1.0942,0.9269,30.0199,25712,0.4481
Salinas,11863,234,481,160,6993,3151,1.9725,4.0546,1.3487,45.0593,39267,0.6637
Salto da Divisa,1984,58,146,10,1507,956,2.9234,7.3589,0.5040,63.4373,6567,0.5327
Santa Bárbara,8043,132,137,56,5042,1585,1.6412,1.7033,0.6963,31.4359,26622,0.4839
Santa Bárbara do Leste,2376,114,152,94,1450,968,4.7980,6.3973,3.9562,66.7586,7865,0.4405
Santa Bárbara do Monte Verde,946,19,52,5,492,215,2.0085,5.4968,0.5285,43.6992,3131,0.5218
Santa Bárbara do Tugúrio,1385,37,63,16,735,399,2.6715,4.5487,1.1552,54.2857,4584,0.4207
Santa Cruz de Minas,2524,14,38,8,1386,253,0.5547,1.5055,0.3170,18.2540,8354,0.3938
Santa Cruz de Salinas,1284,33,129,80,885,646,2.5701,10.0467,6.2305,72.9944,4250,0.4961
Santa Cruz do Escalvado,1573,23,82,26,837,538,1.4622,5.2130,1.6529,64.2772,5207,0.4597
Santa Efigênia de Minas,1327,79,62,33,964,655,5.9533,4.6722,2.4868,67.9461,4392,0.4866
Santa Fé de Minas,1165,78,106,52,887,745,6.6953,9.0987,4.4635,83.9910,3856,0.5377
Santa Helena de Minas,1616,99,138,70,1517,1053,6.1262,8.5396,4.3317,69.4133,5349,0.4983
Santa Juliana,3469,55,71,27,2062,466,1.5855,2.0467,0.7783,22.5994,11482,0.4463
Santa Luzia,59007,757,1114,197,39302,9834,1.2829,1.8879,0.3339,25.0216,195313,0.4495
Santa Margarida,4331,285,238,143,3187,2249,6.5805,5.4953,3.3018,70.5679,14336,0.6193
Santa Maria de Itabira,2924,78,138,38,1892,1083,2.6676,4.7196,1.2996,57.2410,9678,0.4567
Santa Maria do Salto,1602,24,87,89,956,563,1.4981,5.4307,5.5556,58.8912,5303,0.4477
Santa Maria do Suaçuí,4312,217,311,108,3041,1991,5.0325,7.2124,2.5046,65.4719,14273,0.5459
Santa Rita de Caldas,3159,59,41,33,1251,681,1.8677,1.2979,1.0446,54.4365,10456,0.4322
Santa Rita de Ibitipoca,1098,11,65,13,644,308,1.0018,5.9199,1.1840,47.8261,3634,0.5147
Santa Rita de Jacutinga,1788,14,83,33,670,295,0.7830,4.6421,1.8456,44.0299,5918,0.4763
Santa Rita de Minas,2062,66,73,29,1246,595,3.2008,3.5403,1.4064,47.7528,6825,0.4488
Santa Rita do Itueto,1788,86,80,65,1057,762,4.8098,4.4743,3.6353,72.0908,5918,0.4500
Santa Rita do Sapucaí,11526,116,220,57,6658,1731,1.0064,1.9087,0.4945,25.9988,38151,0.4942
Santa Rosa da Serra,1083,12,28,39,612,277,1.1080,2.5854,3.6011,45.2614,3585,0.4704
Santa Vitória,6214,118,160,96,2924,964,1.8989,2.5748,1.5449,32.9685,20568,0.4711
Santana da Vargem,2205,39,70,26,1360,668,1.7687,3.1746,1.1791,49.1176,7299,0.4021
Santana de Cataguases,1214,4,16,7,534,153,0.3295,1.3180,0.5766,28.6517,4018,0.4122
Santana de Pirapama,2553,43,130,105,1322,933,1.6843,5.0920,4.1128,70.5749,8450,0.4258
Santana do Deserto,1175,44,38,5,639,222,3.7447,3.2340,0.4255,34.7418,3889,0.4672
Santana do Garambéu,667,5,22,14,363,153,0.7496,3.2984,2.0990,42.1488,2208,0.5441
Santana do Jacaré,1543,18,29,10,738,297,1.1666,1.8795,0.6481,40.2439,5107,0.4176
Santana do Manhuaçu,2571,169,125,158,1792,1262,6.5733,4.8619,6.1455,70.4241,8510,0.4831
Santana do Paraíso,7925,242,276,102,5531,1748,3.0536,3.4826,1.2871,31.6037,26232,0.4314
Santana do Riacho,1312,26,54,10,669,416,1.9817,4.1159,0.7622,62.1824,4343,0.5293
Santana dos Montes,1152,33,62,30,665,381,2.8646,5.3819,2.6042,57.2932,3813,0.4053
Santo Antônio do Amparo,5087,70,104,24,3206,816,1.3761,2.0444,0.4718,25.4523,16838,0.4365
Santo Antônio do Aventureiro,1205,22,59,18,543,336,1.8257,4.8963,1.4938,61.8785,3989,0.4255
Santo Antônio do Grama,1240,17,59,26,655,280,1.3710,4.7581,2.0968,42.7481,4104,0.4238
Santo Antônio do Itambé,1075,65,202,87,984,832,6.0465,18.7907,8.0930,84.5528,3558,0.4796
Santo Antônio do Jacinto,3590,164,339,165,2294,1659,4.5682,9.4429,4.5961,72.3191,11883,0.5323
Santo Antônio do Monte,8529,177,57,155,4552,1075,2.0753,0.6683,1.8173,23.6160,28231,0.4941
Santo Antônio do Retiro,1798,118,149,69,1560,1212,6.5628,8.2870,3.8376,77.6923,5951,0.5951
Santo Antônio do Rio Abaixo,533,10,24,10,325,216,1.8762,4.5028,1.8762,66.4615,1764,0.5286
Santo Hipólito,1052,41,49,8,577,399,3.8973,4.6578,0.7605,69.1508,3482,0.5459
Santos Dumont,14802,156,306,35,7122,2041,1.0539,2.0673,0.2365,28.6577,48995,0.5098
São Bento Abade,1316,11,31,31,983,209,0.8359,2.3556,2.3556,21.2614,4356,0.4277
São Brás do Suaçuí,1104,41,31,4,485,297,3.7138,2.8080,0.3623,61.2371,3654,0.5402
São Domingos das Dores,1562,60,55,11,1094,670,3.8412,3.5211,0.7042,61.2431,5170,0.4828
São Domingos do Prata,5422,97,187,55,2731,1372,1.7890,3.4489,1.0144,50.2380,17947,0.4948
São Félix de Minas,1059,43,37,24,626,403,4.0604,3.4939,2.2663,64.3770,3505,0.4679
São Francisco,13633,878,1303,590,12481,9382,6.4403,9.5577,4.3277,75.1703,45125,0.5575
São Francisco de Paula,1998,53,51,31,1067,365,2.6527,2.5526,1.5516,34.2081,6613,0.3891
São Francisco de Sales,2077,43,43,12,974,366,2.0703,2.0703,0.5778,37.5770,6875,0.5311
São Francisco do Glória,1619,67,48,42,870,487,4.1384,2.9648,2.5942,55.9770,5359,0.4742
São Geraldo,3259,50,81,41,1700,643,1.5342,2.4854,1.2581,37.8235,10787,0.4168
São Geraldo da Piedade,1243,58,56,61,883,605,4.6661,4.5052,4.9075,68.5164,4114,0.5563
São Geraldo do Baixio,1148,27,41,20,691,338,2.3519,3.5714,1.7422,48.9146,3800,0.4981
São Gonçalo do Abaeté,2018,32,82,2,1279,554,1.5857,4.0634,0.0991,43.3151,6680,0.4736
São Gonçalo do Pará,3350,75,69,50,1751,596,2.2388,2.0597,1.4925,34.0377,11089,0.4079
São Gonçalo do Rio Abaixo,2757,62,113,39,1774,736,2.2488,4.0987,1.4146,41.4882,9126,0.4787
São Gonçalo do Rio Preto,877,31,84,35,597,400,3.5348,9.5781,3.9909,67.0017,2903,0.4367
São Gonçalo do Sapucaí,7218,119,184,32,4174,1264,1.6487,2.5492,0.4433,30.2827,23892,0.5280
São Gotardo,10091,139,136,86,5756,1348,1.3775,1.3477,0.8522,23.4190,33401,0.5173
São João Batista do Glória,2310,18,23,13,1041,289,0.7792,0.9957,0.5628,27.7618,7646,0.4537
São João da Lagoa,1446,53,109,38,864,620,3.6653,7.5380,2.6279,71.7593,4786,0.4877
São João da Mata,906,33,44,5,372,187,3.6424,4.8565,0.5519,50.2688,2999,0.4016
São João da Ponte,6635,373,1064,303,5076,4431,5.6217,16.0362,4.5667,87.2931,21962,0.4828
São João das Missões,2548,294,605,190,3458,3229,11.5385,23.7441,7.4568,93.3777,8434,0.5225
São João del Rei,27747,212,425,77,12368,2395,0.7640,1.5317,0.2775,19.3645,91843,0.5258
São João do Manhuaçu,3052,142,184,163,2088,1289,4.6527,6.0288,5.3408,61.7337,10102,0.5878
São João do Manteninha,1714,22,37,17,838,334,1.2835,2.1587,0.9918,39.8568,5673,0.4430
São João do Oriente,2526,69,66,40,1284,497,2.7316,2.6128,1.5835,38.7072,8361,0.4496
São João do Pacuí,1144,58,85,39,847,645,5.0699,7.4301,3.4091,76.1511,3787,0.6465
São João do Paraíso,6043,314,589,387,4233,2946,5.1961,9.7468,6.4041,69.5960,20002,0.4571
São João Evangelista,4604,168,347,107,2896,1730,3.6490,7.5369,2.3241,59.7376,15239,0.5297
São João Nepomuceno,8410,111,189,85,3698,1180,1.3199,2.2473,1.0107,31.9091,27837,0.4224
São Joaquim de Bicas,9059,245,399,120,4853,2206,2.7045,4.4045,1.3246,45.4564,29985,0.4538
São José da Barra,2065,20,37,8,1168,367,0.9685,1.7918,0.3874,31.4212,6835,0.5050
São José da Lapa,5703,59,115,46,3782,984,1.0345,2.0165,0.8066,26.0180,18877,0.4483
São José da Safira,1164,58,98,34,925,587,4.9828,8.4192,2.9210,63.4595,3853,0.4783
São José da Varginha,1307,26,46,39,803,383,1.9893,3.5195,2.9839,47.6961,4326,0.4909
São José do Alegre,1271,19,15,18,675,209,1.4949,1.1802,1.4162,30.9630,4207,0.4773
São José do Divino,1174,42,71,23,747,440,3.5775,6.0477,1.9591,58.9023,3886,0.5745
São José do Goiabal,1745,20,53,15,949,372,1.1461,3.0372,0.8596,39.1992,5776,0.5289
São José do Jacuri,1865,90,200,67,1300,1037,4.8257,10.7239,3.5925,79.7692,6173,0.4947
São José do Mantimento,795,20,33,8,481,315,2.5157,4.1509,1.0063,65.4886,2631,0.4919
São Lourenço,13919,52,157,35,6556,1349,0.3736,1.1280,0.2515,20.5766,46072,0.5170
São Miguel do Anta,2065,61,131,66,1102,604,2.9540,6.3438,3.1961,54.8094,6835,0.4470
São Pedro da União,1776,45,52,39,715,406,2.5338,2.9279,2.1959,56.7832,5879,0.4594
São Pedro do Suaçuí,1656,71,145,26,1009,716,4.2874,8.7560,1.5700,70.9613,5481,0.4850
São Pedro dos Ferros,2570,54,106,13,1529,627,2.1012,4.1245,0.5058,41.0072,8507,0.4315
São Romão,2483,91,227,124,2341,1880,3.6649,9.1422,4.9940,80.3076,8219,0.5301
São Roque de Minas,2326,35,55,55,1046,560,1.5047,2.3646,2.3646,53.5373,7699,0.4532
São Sebastião da Bela Vista,1560,36,48,24,903,309,2.3077,3.0769,1.5385,34.2193,5164,0.4342
São Sebastião da Vargem Alegre,933,20,6,8,449,255,2.1436,0.6431,0.8574,56.7929,3088,0.4217
São Sebastião do Anta,1715,58,113,53,1296,861,3.3819,6.5889,3.0904,66.4352,5677,0.4555
São Sebastião do Maranhão,2930,198,258,107,2430,2043,6.7577,8.8055,3.6519,84.0741,9698,0.5435
São Sebastião do Oeste,1849,33,78,27,1007,493,1.7847,4.2185,1.4602,48.9573,6120,0.4102
São Sebastião do Paraíso,21018,253,278,143,10711,2440,1.2037,1.3227,0.6804,22.7803,69570,0.4736
São Sebastião do Rio Preto,518,10,43,17,276,192,1.9305,8.3012,3.2819,69.5652,1715,0.5052
São Sebastião do Rio Verde,682,9,11,0,294,121,1.3196,1.6129,0.0000,41.1565,2257,0.4263
São Tiago,3353,70,91,40,1776,630,2.0877,2.7140,1.1930,35.4730,11098,0.4017
São Tomás de Aquino,2301,25,42,18,1293,547,1.0865,1.8253,0.7823,42.3047,7616,0.4477
São Tomé das Letras,2172,47,84,82,1254,602,2.1639,3.8674,3.7753,48.0064,7189,0.4319
São Vicente de Minas,2066,42,53,12,1269,475,2.0329,2.5653,0.5808,37.4310,6838,0.5282
Sapucaí-Mirim,1995,58,79,43,1212,528,2.9073,3.9599,2.1554,43.5644,6603,0.4466
Sardoá,1505,68,135,62,1189,921,4.5183,8.9701,4.1196,77.4601,4982,0.4984
Sarzedo,7359,77,162,84,5216,999,1.0463,2.2014,1.1415,19.1526,24358,0.4641
Sem-Peixe,931,8,27,36,387,214,0.8593,2.9001,3.8668,55.2972,3082,0.4442
Senador Amaral,1583,21,75,36,1063,540,1.3266,4.7378,2.2742,50.7996,5240,0.4573
Senador Cortes,632,9,41,8,373,182,1.4241,6.4873,1.2658,48.7936,2092,0.5846
Senador Firmino,2320,69,78,34,1164,558,2.9741,3.3621,1.4655,47.9381,7679,0.4386
Senador José Bento,632,3,7,31,211,128,0.4747,1.1076,4.9051,60.6635,2092,0.4012
Senador Modestino Gonçalves,1337,35,83,86,883,618,2.6178,6.2079,6.4323,69.9887,4425,0.4339
Senhora de Oliveira,1648,60,74,19,962,479,3.6408,4.4903,1.1529,49.7921,5455,0.4529
Senhora do Porto,1036,41,90,21,733,611,3.9575,8.6873,2.0270,83.3561,3429,0.4760
Senhora dos Remédios,2995,63,80,114,1705,1068,2.1035,2.6711,3.8063,62.6393,9913,0.4464
Sericita,2105,151,155,99,1433,993,7.1734,7.3634,4.7031,69.2952,6968,0.4523
Seritinga,577,9,27,0,277,126,1.5598,4.6794,0.0000,45.4874,1910,0.4284
Serra Azul de Minas,1122,124,131,18,1048,898,11.0517,11.6756,1.6043,85.6870,3714,0.5483
Serra da Saudade,290,3,9,5,138,66,1.0345,3.1034,1.7241,47.8261,960,0.3792
Serra do Salitre,3287,66,98,73,2031,810,2.0079,2.9814,2.2209,39.8818,10880,0.5316
Serra dos Aimorés,2685,63,84,37,1796,1049,2.3464,3.1285,1.3780,58.4076,8887,0.5723
Serrania,2266,44,33,16,1489,481,1.9417,1.4563,0.7061,32.3036,7500,0.4491
Serranópolis de Minas,1288,50,58,56,878,727,3.8820,4.5031,4.3478,82.8018,4263,0.5356
Serranos,639,11,35,2,330,143,1.7214,5.4773,0.3130,43.3333,2115,0.5075
Serro,5699,169,524,306,4540,3287,2.9654,9.1946,5.3694,72.4009,18864,0.6597
Sete Lagoas,63749,651,887,446,35380,7991,1.0212,1.3914,0.6996,22.5862,211009,0.5353
Setubinha,2562,213,389,100,3083,2802,8.3138,15.1835,3.9032,90.8855,8480,0.5490
Silveirânia,737,25,32,7,339,163,3.3921,4.3419,0.9498,48.0826,2439,0.4107
Silvianópolis,2024,37,62,29,956,491,1.8281,3.0632,1.4328,51.3598,6699,0.4721
Simão Pereira,756,13,50,4,427,240,1.7196,6.6138,0.5291,56.2061,2502,0.5141
Simonésia,5466,323,271,422,3644,2643,5.9093,4.9579,7.7205,72.5302,18092,0.5094
Sobrália,1829,63,83,61,1069,607,3.4445,4.5380,3.3352,56.7820,6054,0.4885
Soledade de Minas,1887,32,47,14,980,418,1.6958,2.4907,0.7419,42.6531,6246,0.4544
Tabuleiro,1358,18,38,7,607,235,1.3255,2.7982,0.5155,38.7150,4495,0.4560
Taiobeiras,8955,289,519,273,6009,3923,3.2272,5.7956,3.0486,65.2854,29641,0.5166
Taparuba,1093,16,31,22,483,242,1.4639,2.8362,2.0128,50.1035,3618,0.3994
Tapira,1292,28,77,42,678,291,2.1672,5.9598,3.2508,42.9204,4277,0.5532
Tapiraí,665,15,27,17,281,148,2.2556,4.0602,2.5564,52.6690,2201,0.4552
Taquaraçu de Minas,1188,11,76,14,693,506,0.9259,6.3973,1.1785,73.0159,3932,0.4547
Tarumirim,4597,172,273,118,2624,1535,3.7416,5.9387,2.5669,58.4985,15216,0.4812
Teixeiras,3694,80,110,17,1686,834,2.1657,2.9778,0.4602,49.4662,12227,0.5609
Teófilo Otoni,41487,918,1380,212,24131,10863,2.2127,3.3263,0.5110,45.0168,137322,0.5853
Timóteo,24647,124,259,74,13635,2381,0.5031,1.0508,0.3002,17.4624,81582,0.4893
Tiradentes,2365,30,50,23,1110,342,1.2685,2.1142,0.9725,30.8108,7828,0.5748
Tiros,2511,33,41,42,1048,401,1.3142,1.6328,1.6726,38.2634,8311,0.5427
Tocantins,5112,40,130,64,2515,890,0.7825,2.5430,1.2520,35.3877,16921,0.4237
Tocos do Moji,1265,31,28,73,488,298,2.4506,2.2134,5.7708,61.0656,4187,0.4184
Toledo,1863,46,53,46,968,523,2.4691,2.8449,2.4691,54.0289,6167,0.4013
Tombos,3176,32,84,18,1488,591,1.0076,2.6448,0.5668,39.7177,10513,0.5328
Três Corações,22343,228,363,106,13298,3635,1.0205,1.6247,0.4744,27.3349,73955,0.5655
Três Marias,8836,150,212,103,5063,1343,1.6976,2.3993,1.1657,26.5258,29247,0.5297
Três Pontas,16179,370,211,126,9601,2990,2.2869,1.3042,0.7788,31.1426,53552,0.5126
Tumiritinga,1973,57,81,70,1350,809,2.8890,4.1054,3.5479,59.9259,6531,0.4635
