Índice de Gini da renda domiciliar per capita segundo Município - Minas Gerais;;;
Período: 1991, 2000 e 2010;;;
311480 Carvalhos;0,5106;0,4702;0,531
311490 Casa Grande;0,5139;0,4828;0,4035
311500 Cascalho Rico;0,4869;0,4992;0,4935
311510 Cássia;0,5664;0,5218;0,4825
311530 Cataguases;0,5881;0,5553;0,512
311535 Catas Altas;...;0,464;0,392
311540 Catas Altas da Noruega;0,5121;0,5466;0,4437
311545 Catuji;...;0,5944;0,5546
311547 Catuti;...;0,5066;0,5054
311550 Caxambu;0,6071;0,5764;0,6667
311560 Cedro do Abaeté;0,4797;0,4358;0,4093
311570 Central de Minas;0,5471;0,5543;0,6067
311580 Centralina;0,4586;0,7303;0,4041
311590 Chácara;0,5685;0,5011;0,4403
311600 Chalé;0,5132;0,4382;0,4573
311610 Chapada do Norte;0,4515;0,4451;0,4734
311615 Chapada Gaúcha;...;0,7129;0,5108
311620 Chiador;0,4937;0,5074;0,6223
311630 Cipotânea;0,6007;0,5838;0,506
311640 Claraval;0,4663;0,4483;0,4299
311650 Claro dos Poções;0,5016;0,4871;0,4279
311660 Cláudio;0,5252;0,4653;0,4053
311670 Coimbra;0,5391;0,5108;0,4543
311680 Coluna;0,6182;0,6334;0,5078
311690 Comendador Gomes;0,4741;0,6368;0,451
311700 Comercinho;0,5262;0,596;0,494
311710 Conceição da Aparecida;0,5214;0,5519;0,4584
311520 Conceição da Barra de Minas;0,4642;0,4473;0,4992
311730 Conceição das Alagoas;0,5571;0,5821;0,5263
311720 Conceição das Pedras;0,5421;0,4464;0,4869
311740 Conceição de Ipanema;0,6512;0,5238;0,5422
311750 Conceição do Mato Dentro;0,5783;0,6398;0,4975
311760 Conceição do Pará;0,5076;0,4737;0,4235
311770 Conceição do Rio Verde;0,5684;0,5998;0,5307
311780 Conceição dos Ouros;0,476;0,4879;0,3894
311783 Cônego Marinho;...;0,6466;0,5294
311787 Confins;...;0,4255;0,4546
311790 Congonhal;0,5274;0,4838;0,4576
311800 Congonhas;0,546;0,5247;0,5052
311810 Congonhas do Norte;0,7169;0,6778;0,499
311820 Conquista;0,5328;0,6192;0,4478
311830 Conselheiro Lafaiete;0,5428;0,5297;0,4988
311840 Conselheiro Pena;0,5652;0,6187;0,5175
311850 Consolação;0,3994;0,4285;0,3731
311860 Contagem;0,4793;0,504;0,4953
311870 Coqueiral;0,5702;0,4938;0,4901
311880 Coração de Jesus;0,549;0,6407;0,4975
311890 Cordisburgo;0,5099;0,5635;0,4606
311900 Cordislândia;0,5407;0,4407;0,4573
311910 Corinto;0,5924;0,581;0,5454
311920 Coroaci;0,5361;0,5701;0,5062
311930 Coromandel;0,5336;0,5372;0,513
311940 Coronel Fabriciano;0,5516;0,5534;0,4983
311950 Coronel Murta;0,5048;0,5323;0,4929
311960 Coronel Pacheco;0,474;0,507;0,4238
311970 Coronel Xavier Chaves;0,4135;0,4304;0,5335
311980 Córrego Danta;0,5776;0,523;0,4815
311990 Córrego do Bom Jesus;0,433;0,4953;0,3851
311995 Córrego Fundo;...;0,4354;0,3288
312000 Córrego Novo;0,4483;0,4839;0,4347
312010 Couto de Magalhães de Minas;0,6682;0,5646;0,4684
312015 Crisólita;...;0,6581;0,5154
312020 Cristais;0,5434;0,5228;0,5835
312030 Cristália;0,4602;0,5042;0,5239
312040 Cristiano Otoni;0,5475;0,5002;0,4465
312050 Cristina;0,5791;0,5506;0,4427
312060 Crucilândia;0,7846;0,5054;0,4349
312070 Cruzeiro da Fortaleza;0,4699;0,5285;0,5939
312080 Cruzília;0,5808;0,5403;0,4966
312083 Cuparaque;...;0,4919;0,4842
312087 Curral de Dentro;...;0,5459;0,5476
312090 Curvelo;0,5919;0,5555;0,5213
312100 Datas;0,5311;0,5758;0,4228
312110 Delfim Moreira;0,6317;0,5542;0,4534
312120 Delfinópolis;0,4869;0,4897;0,4757
312125 Delta;...;0,4388;0,4117
312130 Descoberto;0,4652;0,5079;0,4591
312140 Desterro de Entre Rios;0,4895;0,5864;0,4177
312150 Desterro do Melo;0,5666;0,6206;0,4617
312160 Diamantina;0,5826;0,6168;0,5713
312170 Diogo de Vasconcelos;0,514;0,5695;0,5082
312180 Dionísio;0,5485;0,5142;0,4582
312190 Divinésia;0,5452;0,5136;0,4026
312200 Divino;0,5625;0,4998;0,5418
312210 Divino das Laranjeiras;0,5525;0,6671;0,4505
312220 Divinolândia de Minas;0,468;0,6012;0,4433
312230 Divinópolis;0,5388;0,5333;0,4797
312235 Divisa Alegre;...;0,5711;0,5048
312240 Divisa Nova;0,7087;0,4405;0,3952
312245 Divisópolis;...;0,5181;0,4569
312247 Dom Bosco;...;0,5566;0,4267
312250 Dom Cavati;0,6196;0,5899;0,4487
312260 Dom Joaquim;0,5435;0,5959;0,5453
312270 Dom Silvério;0,5124;0,5553;0,4177
312280 Dom Viçoso;0,4998;0,4207;0,4153
312290 Dona Eusébia;0,4824;0,497;0,4163
312300 Dores de Campos;0,5689;0,4793;0,3997
312310 Dores de Guanhães;0,5802;0,5381;0,4926
312320 Dores do Indaiá;0,646;0,5582;0,471
312330 Dores do Turvo;0,5272;0,6141;0,4669
312340 Doresópolis;0,3703;0,3541;0,3953
312350 Douradoquara;0,5233;0,4501;0,493
312352 Durandé;...;0,5365;0,4343
312360 Elói Mendes;0,5583;0,5398;0,479
312370 Engenheiro Caldas;0,5639;0,5526;0,5006
312380 Engenheiro Navarro;0,5468;0,4427;0,4304
312385 Entre Folhas;...;0,4569;0,4803
312390 Entre Rios de Minas;0,5672;0,5673;0,5007
312400 Ervália;0,5656;0,6774;0,4654
312410 Esmeraldas;0,5274;0,5992;0,4437
312420 Espera Feliz;0,5708;0,4866;0,5093
312430 Espinosa;0,5183;0,594;0,4586
312440 Espírito Santo do Dourado;0,4358;0,4236;0,3689
312450 Estiva;0,4651;0,5084;0,3957
312460 Estrela Dalva;0,727;0,684;0,5966
312470 Estrela do Indaiá;0,6256;0,5169;0,4748
312480 Estrela do Sul;0,5205;0,4896;0,4473
312490 Eugenópolis;0,5572;0,6039;0,4578
312500 Ewbank da Câmara;0,4956;0,43;0,3693
312510 Extrema;0,5166;0,4907;0,4015
312520 Fama;0,6443;0,5883;0,4685
312530 Faria Lemos;0,587;0,5257;0,515
312540 Felício dos Santos;0,529;0,5527;0,4627
312560 Felisburgo;0,6268;0,5564;0,5288
